Leg 1 t,Leg 1 Fz,Leg 1 Gxy,Leg 2 t,Leg 2 Fz,Leg 2 Gxy,Leg 3 t,Leg 3 Fz,Leg 3 Gxy,Leg 4 t,Leg 4 Fz,Leg 4 Gxy,Leg 5 t,Leg 5 Fz,Leg 5 Gxy,Leg 6 t,Leg 6 Fz,Leg 6 Gxy
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.2,0.0,-0.1,0.2,1.0,0.0,0.2,0.0,-0.1,0.2,1.0,0.0,0.2,0.0,-0.1,0.2,1.0,0.0
0.4,0.0,-0.1,0.4,0.9,0.1,0.4,0.0,-0.1,0.4,0.9,0.1,0.4,0.0,-0.1,0.4,0.9,0.1
0.6,0.0,-0.2,0.6,0.9,0.1,0.6,0.0,-0.2,0.6,0.9,0.1,0.6,0.0,-0.2,0.6,0.9,0.1
0.8,0.0,-0.2,0.8,0.8,0.2,0.8,0.0,-0.2,0.8,0.8,0.2,0.8,0.0,-0.2,0.8,0.8,0.2
1.0,0.0,-0.3,1.0,0.8,0.2,1.0,0.0,-0.3,1.0,0.8,0.2,1.0,0.0,-0.3,1.0,0.8,0.2
1.2,0.0,-0.3,1.2,0.7,0.3,1.2,0.0,-0.3,1.2,0.7,0.3,1.2,0.0,-0.3,1.2,0.7,0.3
1.4,0.0,-0.4,1.4,0.7,0.3,1.4,0.0,-0.4,1.4,0.7,0.3,1.4,0.0,-0.4,1.4,0.7,0.3
1.6,0.0,-0.5,1.6,0.6,0.4,1.6,0.0,-0.5,1.6,0.6,0.4,1.6,0.0,-0.5,1.6,0.6,0.4
1.8,0.0,-0.5,1.8,0.6,0.4,1.8,0.0,-0.5,1.8,0.6,0.4,1.8,0.0,-0.5,1.8,0.6,0.4
2.0,0.0,-0.6,2.0,0.6,0.4,2.0,0.0,-0.6,2.0,0.6,0.4,2.0,0.0,-0.6,2.0,0.6,0.4
2.2,0.0,-0.6,2.2,0.5,0.5,2.2,0.0,-0.6,2.2,0.5,0.5,2.2,0.0,-0.6,2.2,0.5,0.5
2.4,0.0,-0.7,2.4,0.5,0.5,2.4,0.0,-0.7,2.4,0.5,0.5,2.4,0.0,-0.7,2.4,0.5,0.5
2.6,0.0,-0.7,2.6,0.4,0.6,2.6,0.0,-0.7,2.6,0.4,0.6,2.6,0.0,-0.7,2.6,0.4,0.6
2.8,0.0,-0.8,2.8,0.4,0.6,2.8,0.0,-0.8,2.8,0.4,0.6,2.8,0.0,-0.8,2.8,0.4,0.6
3.0,0.0,-0.9,3.0,0.3,0.7,3.0,0.0,-0.9,3.0,0.3,0.7,3.0,0.0,-0.9,3.0,0.3,0.7
3.2,0.0,-0.9,3.2,0.3,0.7,3.2,0.0,-0.9,3.2,0.3,0.7,3.2,0.0,-0.9,3.2,0.3,0.7
3.4,0.0,-1.0,3.4,0.2,0.8,3.4,0.0,-1.0,3.4,0.2,0.8,3.4,0.0,-1.0,3.4,0.2,0.8
3.6,0.0,-1.0,3.6,0.2,0.8,3.6,0.0,-1.0,3.6,0.2,0.8,3.6,0.0,-1.0,3.6,0.2,0.8
3.8,0.1,-0.9,3.8,0.2,0.8,3.8,0.1,-0.9,3.8,0.2,0.8,3.8,0.1,-0.9,3.8,0.2,0.8
4.0,0.1,-0.9,4.0,0.1,0.9,4.0,0.1,-0.9,4.0,0.1,0.9,4.0,0.1,-0.9,4.0,0.1,0.9
4.2,0.2,-0.8,4.2,0.1,0.9,4.2,0.2,-0.8,4.2,0.1,0.9,4.2,0.2,-0.8,4.2,0.1,0.9
4.4,0.2,-0.8,4.4,0.0,1.0,4.4,0.2,-0.8,4.4,0.0,1.0,4.4,0.2,-0.8,4.4,0.0,1.0
4.6,0.2,-0.8,4.6,0.0,1.0,4.6,0.2,-0.8,4.6,0.0,1.0,4.6,0.2,-0.8,4.6,0.0,1.0
